name,district,price,bedroom,wc,acreage,link
Gia đình cần bán mong gặp khách cần mua,"Quận 10, TPHCM",3 tỷ 700 triệu,2 PN,2 WC,30 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/gia-dinh-can-ban-mong-gap-khach-can-mua-id22495812
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
Nhà trệt lầu ở Nhơn Đức Nhà Bè,"Huyện Nhà Bè, TPHCM",850 triệu,2 PN,2 WC,21 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/nha-tret-lau-o-nhon-duc-nha-be-id22524481
SỐC THẬT MTKD Nguyễn Văn Khối ngang 4.2m 135m2 4 tầng đang KD 16.5 tỷ,"Quận Gò Vấp, TPHCM",16 tỷ 500 triệu,8 PN,6 WC,135 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/soc-that-mtkd-nguyen-van-khoi-ngang-4-2m-135m2-4-tang-dang-kd-16-5-ty-id22322353
Bán nhà hẻm 118 Phan Huy Ích 85m2 ngang 5m view góc KD tốt gần KCN 8tỷ,"Quận Tân Bình, TPHCM",8 tỷ,4 PN,3 WC,85 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-hem-118-phan-huy-ich-85m2-ngang-5m-view-goc-kd-tot-gan-kcn-8ty-id22499884
MTKD 6lầu đẹp ngay chợ Phạm Văn Bạch 120m2 ngang 6m có TM tặng NT 21tỷ,"Quận Gò Vấp, TPHCM",21 tỷ,6 PN,20 WC,120 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/mtkd-6lau-dep-ngay-cho-pham-van-bach-120m2-ngang-6m-co-tm-tang-nt-21ty-id22492359
Nhỉnh 11 tỷ có MTKD Nguyễn Oanh 85m2(4.7x18) KD đa nghề gần Cityland.,"Quận Gò Vấp, TPHCM",11 tỷ 500 triệu,4 PN,4 WC,85 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/nhinh-11-ty-co-mtkd-nguyen-oanh-85m2-4-7x18-kd-da-nghe-gan-cityland-id22490241
GẤP mặt tiền Tân Sơn rộng 8m 184m2 3 tầng gần nhà ga T3 KD đỉnh 26 tỷ,"Quận Gò Vấp, TPHCM",26 tỷ,3 PN,4 WC,184 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/gap-mat-tien-tan-son-rong-8m-184m2-3-tang-gan-nha-ga-t3-kd-dinh-26-ty-id22490170
Biệt thự view đẹp hẻm VIP 409 Nguyễn Oanh HIẾM 16m 352m2 gần chợ 36 tỷ,"Quận Gò Vấp, TPHCM",36 tỷ,5 PN,6 WC,352 m2,https://mogi.vn/quan-go-vap/mua-nha-biet-thu-lien-ke/biet-thu-view-dep-hem-vip-409-nguyen-oanh-hiem-16m-352m2-gan-cho-36-ty-id22489519
Siêu phẩm MTKD VÀNG hiếm rộng 14m 330m2 Trường Sơn ngay sân bay 85 tỷ,"Quận Tân Bình, TPHCM",85 tỷ,5 PN,4 WC,330 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/sieu-pham-mtkd-vang-hiem-rong-14m-330m2-truong-son-ngay-san-bay-85-ty-id22305884
