name,district,price,bedroom,wc,acreage,link
"Nhỉnh 7 Tỷ , 60M2 ,3PN ,Ngang 4m , HXH  Đỗ Cửa Đường 44 P.14 Gò Vấp","Quận Gò Vấp, TPHCM",7 tỷ 200 triệu,3 PN,4 WC,60 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/nhinh-7-ty-60m2-3pn-ngang-4m-hxh-do-cua-duong-44-p-14-go-vap-id22448804
"Bán Nhà mới đẹp,hẻm ba gác gần MT Bùi Đình Tuý P.24 BT 39m2, 4 tỷ78","Quận Bình Thạnh, TPHCM",4 tỷ 780 triệu,2 PN,2 WC,39 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-gan-mt-bui-dinh-tuy-p-24-bt-39m2-4-ty78-id22538386
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
"Bán nhà Hẻm Ba Gác Thông Lê Quang Định P.7 Q.BT 33m2, 5PN, chỉ 5 tỷ1","Quận Bình Thạnh, TPHCM",5 tỷ 100 triệu,5 PN,6 WC,33 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-hem-ba-gac-thong-le-quang-dinh-p-7-q-bt-33m2-5pn-chi-5-ty1-id22524911
5 tầng hẻm xe hơi tránh Bình Thạnh 70m2 chỉ 9 tỷ,"Quận Bình Thạnh, TPHCM",9 tỷ,6 PN,6 WC,73 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/5-tang-hem-xe-hoi-tranh-binh-thanh-70m2-chi-9-ty-id22525147
Gia đình cần bán mong gặp khách cần mua,"Quận 10, TPHCM",3 tỷ 700 triệu,2 PN,2 WC,30 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/gia-dinh-can-ban-mong-gap-khach-can-mua-id22495812
"NHÀ GÓC 2 MT đường Bình Thới - Q11, DTSD 320m2, 5 tầng, 22,5 tỷ TL","Quận 11, TPHCM",22 tỷ 500 triệu,8 PN,5 WC,74 m2,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/nha-goc-2-mt-duong-binh-thoi-q11-dtsd-320m2-5-tang-22-5-ty-tl-id22534903
Hẻm Ba Gác- NGUYỄN THỊ MINH KHAI- Q.3- 41m2(3.8x11)- 20m Ra Mặt Tiền,"Quận 3, TPHCM",7 tỷ 300 triệu,4 PN,3 WC,41 m2,https://mogi.vn/quan-3/mua-nha-hem-ngo/hem-ba-gac-nguyen-thi-minh-khai-q-3-41m2-3-8x11-20m-ra-mat-tien-id22505303
Bán Nhà Mặt Tiền Đường Hà Đặc- Trung Mỹ Tây - Quận 12 - 3 Tầng Mới,"Quận 12, TPHCM",7 tỷ 890 triệu,5 PN,3 WC,112 m2,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-ha-dac-trung-my-tay-quan-12-3-tang-moi-id22457453
Bán Nhà Mặt Tiền PHAN CHU TRINH - 41M2 - Ngang 4M - Nở Hậu - Chỉ 9 Tỷ,"Quận Bình Thạnh, TPHCM",9 tỷ,3 PN,2 WC,41 m2,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-nha-mat-tien-phan-chu-trinh-41m2-ngang-4m-no-hau-chi-9-ty-id22138654
