name,district,price,bedroom,wc,acreage,link
NHÀ MỚI  - 2 TẦNG - Lê Văn Khương - 4 x 13 - Hẻm xe hơi thông - HƠN 3T,"Quận 12, TPHCM",3 tỷ 600 triệu,2 PN,2 WC,44 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/nha-moi-2-tang-le-van-khuong-4-x-13-hem-xe-hoi-thong-hon-3t-id22529587
Gia đình cần bán mong gặp khách cần mua,"Quận 10, TPHCM",3 tỷ 700 triệu,2 PN,2 WC,30 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/gia-dinh-can-ban-mong-gap-khach-can-mua-id22495812
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
Nhà trệt lầu ở Nhơn Đức Nhà Bè,"Huyện Nhà Bè, TPHCM",850 triệu,2 PN,2 WC,21 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/nha-tret-lau-o-nhon-duc-nha-be-id22524481
"Bán đất MT đường Số 7, P. Bình Trị Đông B, 6 x 23m, giá 24.5 tỷ.","Quận Bình Tân, TPHCM",24 tỷ 500 triệu,0 PN,0 WC,130 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-dat-mt-duong-so-7-p-binh-tri-dong-b-6-x-23m-gia-24-5-ty-id21515463
Bán nhà mặt tiền đường 38 khu Tên Lửa,"Quận Bình Tân, TPHCM",7 tỷ 200 triệu,5 PN,5 WC,90 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-38-khu-ten-lua-id22443487
Bán nhà hẻm 304 Trường Chinh Phường 13 Tân Bình Diện tích: 42m2 1tỷ250,"Quận Tân Bình, TPHCM",1 tỷ 250 triệu,2 PN,2 WC,42 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-hem-304-truong-chinh-phuong-13-tan-binh-dien-tich-42m2-1ty250-id22519368
Bán nhà góc hai mặt tiền đường số 75 P. Tân Phong Quận 7 giá tốt,"Quận 7, TPHCM",31 tỷ,7 PN,6 WC,161 m2,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/ban-nha-goc-hai-mat-tien-duong-so-75-p-tan-phong-quan-7-gia-tot-id22478340
Bán dãy trọ 80m2 - ngang 9m - Dãy trọ dòng tiền 10tr/ tháng - Tăng Nhơ,"Quận 9 (TP. Thủ Đức), TPHCM",5 tỷ 500 triệu,5 PN,4 WC,78 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-day-tro-80m2-ngang-9m-day-tro-dong-tien-10tr-thang-tang-nho-id22491047
🎯 Nhà Đẹp Ở Ngay - 2 Tầng - Hàng Xóm Thân Thiện Đường Đinh Bộ Lĩnh,"Quận Bình Thạnh, TPHCM",4 tỷ 100 triệu,2 PN,2 WC,40 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nha-dep-o-ngay-2-tang-hang-xom-than-thien-duong-dinh-bo-linh-id22417914
"Bán gấp căn nhà mặt tiền đường Mạc Đĩnh Chi Phường Đa Kao, Quận 1 HĐT","Quận 1, TPHCM",31 tỷ,2 PN,2 WC,75 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-gap-can-nha-mat-tien-duong-mac-dinh-chi-phuong-da-kao-quan-1-hdt-id22506070
"Bán nhà mặt tiền đường Trần Khắc Chân, phường 15, Phú Nhuận.50m2.SHR","Quận Phú Nhuận, TPHCM",3 tỷ 490 triệu,0 PN,0 WC,0 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-nha-mat-tien-duong-tran-khac-chan-phuong-15-phu-nhuan-50m2-shr-id22517966
