name,district,price,bedroom,wc,acreage,link
"TIN THẬT: 30tr/m2 biệt thự 272m2(10x21) đường 182 Lã Xuân Oai-TNP A,Q9","Quận 9 (TP. Thủ Đức), TPHCM",8 tỷ 200 triệu,3 PN,2 WC,272 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/tin-that-30tr-m2-biet-thu-272m2-10x21-duong-182-la-xuan-oai-tnp-a-q9-id22416763
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
Gia đình cần bán mong gặp khách cần mua,"Quận 10, TPHCM",3 tỷ 700 triệu,2 PN,2 WC,30 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/gia-dinh-can-ban-mong-gap-khach-can-mua-id22495812
"Nhỉnh 7 Tỷ , 60M2 ,3PN ,Ngang 4m , HXH  Đỗ Cửa Đường 44 P.14 Gò Vấp","Quận Gò Vấp, TPHCM",7 tỷ 200 triệu,3 PN,4 WC,60 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/nhinh-7-ty-60m2-3pn-ngang-4m-hxh-do-cua-duong-44-p-14-go-vap-id22448804
"Bán Nhà mới đẹp,hẻm ba gác gần MT Bùi Đình Tuý P.24 BT 39m2, 4 tỷ78","Quận Bình Thạnh, TPHCM",4 tỷ 780 triệu,2 PN,2 WC,39 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-gan-mt-bui-dinh-tuy-p-24-bt-39m2-4-ty78-id22538386
"Bán Nhà Mới Đẹp , HXH đỗ cửa Thống Nhất P.11 Gò Vấp 45m2, 3PN, 6 tỷ5","Quận Gò Vấp, TPHCM",6 tỷ 500 triệu,3 PN,5 WC,45 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-moi-dep-hxh-do-cua-thong-nhat-p-11-go-vap-45m2-3pn-6-ty5-id22539926
"NHÀ GÓC 2 MT đường Bình Thới - Q11, DTSD 320m2, 5 tầng, 22,5 tỷ TL","Quận 11, TPHCM",22 tỷ 500 triệu,8 PN,5 WC,74 m2,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/nha-goc-2-mt-duong-binh-thoi-q11-dtsd-320m2-5-tang-22-5-ty-tl-id22534903
"Bán nhà Hẻm Ba Gác Thông Lê Quang Định P.7 Q.BT 33m2, 5PN, chỉ 5 tỷ1","Quận Bình Thạnh, TPHCM",5 tỷ 100 triệu,5 PN,6 WC,33 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-hem-ba-gac-thong-le-quang-dinh-p-7-q-bt-33m2-5pn-chi-5-ty1-id22524911
"Bán nhà  Phan Sào Nam, Tân Bình (4x25) 5 lầu full nội thất giá 18,5 ỷ","Quận Tân Bình, TPHCM",18 tỷ,4 PN,5 WC,92 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-phan-sao-nam-tan-binh-4x25-5-lau-full-noi-that-gia-18-5-y-id22514722
Bán Khách sạn MT Trần Quang Khải  Q.1 Ngang 5m Hầm 5 tầng Giá 49 Tỷ,"Quận 1, TPHCM",49 tỷ,5 PN,5 WC,100 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-khach-san-mt-tran-quang-khai-q-1-ngang-5m-ham-5-tang-gia-49-ty-id22513053
"Bán Nhà Nguyễn Văn Đậu, Hẻm Xe Hơi, 40M2, 3 Tầng Mới, Chỉ 5.9 Tỷ","Quận Bình Thạnh, TPHCM",5 tỷ 900 triệu,3 PN,3 WC,40 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-nguyen-van-dau-hem-xe-hoi-40m2-3-tang-moi-chi-5-9-ty-id22366430
"Bán Quận Bình Thạnh - Vị trí KD - DT 48m2 ngay mặt tiền. Giá 5,6 tỷ tl","Quận Bình Thạnh, TPHCM",5 tỷ 599 triệu,2 PN,2 WC,48 m2,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-quan-binh-thanh-vi-tri-kd-dt-48m2-ngay-mat-tien-gia-5-6-ty-tl-id22435904
"Bán gấp nhà đường Lý Chiêu Hoàng, Q6, 52m2, SHR đã hoàn công","Quận 6, TPHCM",2 tỷ 750 triệu,2 PN,2 WC,53 m2,https://mogi.vn/quan-6/mua-nha-hem-ngo/ban-gap-nha-duong-ly-chieu-hoang-q6-52m2-shr-da-hoan-cong-id22521000
Mảnh đất DT 491m2 HIẾM 10m ngay Bình Quới view bờ sông xây mới 30 tỷ.,"Quận Bình Thạnh, TPHCM",30 tỷ,2 PN,2 WC,491 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/manh-dat-dt-491m2-hiem-10m-ngay-binh-quoi-view-bo-song-xay-moi-30-ty-id22262756
"Bán Gấp Nhà MT đường Nguyễn Tri Phương, Q10.DT: 4x18. 3 Tầng. 20,5tỷ","Quận 10, TPHCM",20 tỷ 500 triệu,4 PN,3 WC,50 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-gap-nha-mt-duong-nguyen-tri-phuong-q10-dt-4x18-3-tang-20-5ty-id22436669
"Nhà Dương Thị Mười, Q12, 1T1L DT 14m2, giá 590tr","Quận 12, TPHCM",590 triệu,1 PN,1 WC,13 m2,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/nha-duong-thi-muoi-q12-1t1l-dt-14m2-gia-590tr-id22538336
"Gấp bán nhà HXH, sát MT, 56m2, 2 tầng, Lâm Thị Hố, Q12, chỉ 3.6 tỷ","Quận 12, TPHCM",3 tỷ 600 triệu,3 PN,2 WC,56 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/gap-ban-nha-hxh-sat-mt-56m2-2-tang-lam-thi-ho-q12-chi-3-6-ty-id22532523
"Bán Nhà HXH 120/ Trần Đình Xu, Quận 1. DT 4x16m 3 tầng. Chỉ 13 tỷ","Quận 1, TPHCM",13 tỷ,4 PN,4 WC,62 m2,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-nha-hxh-120-tran-dinh-xu-quan-1-dt-4x16m-3-tang-chi-13-ty-id22459437
Nhà mới khu tên lửa đường số 27 giá 13.2 tỷ cần bán,"Quận Bình Tân, TPHCM",13 tỷ 200 triệu,6 PN,3 WC,100 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/nha-moi-khu-ten-lua-duong-so-27-gia-13-2-ty-can-ban-id21694652
"Lên sóng siêu phẩm nhà Tô Hiến Thành, P12,Q10, 70m2, 3tỷ100, sổ riêng.","Quận 10, TPHCM",3 tỷ 100 triệu,3 PN,4 WC,70 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/len-song-sieu-pham-nha-to-hien-thanh-p12-q10-70m2-3ty100-so-rieng-id22413326
"Chính chủ bán nhà, Phan Văn Trị, phường 5, Gò Vấp. DT: 77,7m2/ 2,9 tỷ.","Quận Gò Vấp, TPHCM",2 tỷ 900 triệu,4 PN,4 WC,78 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/chinh-chu-ban-nha-phan-van-tri-phuong-5-go-vap-dt-77-7m2-2-9-ty-id22392474
"Tòa Văn Phòng Hiện hữu, bề ngang 11 tải Quận 3 chỉ 95 tỷ","Quận 3, TPHCM",95 tỷ,6 PN,6 WC,120 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/toa-van-phong-hien-huu-be-ngang-11-tai-quan-3-chi-95-ty-id22530473
"Nhà Views THCS Ngô Sĩ Liên, 73m2 4 *18m 3 Tầng 6PN 12Ty, Phạm Văn Hai","Quận Tân Bình, TPHCM",12 tỷ,6 PN,5 WC,73 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/nha-views-thcs-ngo-si-lien-73m2-4-18m-3-tang-6pn-12ty-pham-van-hai-id22533689
"Nhà 1 lầu hẻm xe hơi 88 Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7","Quận 7, TPHCM",4 tỷ 900 triệu,3 PN,2 WC,67 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/nha-1-lau-hem-xe-hoi-88-nguyen-van-quy-phuong-phu-thuan-quan-7-id22535000
