name,district,price,bedroom,wc,acreage,link
5 tầng hẻm xe hơi tránh Bình Thạnh 70m2 chỉ 9 tỷ,"Quận Bình Thạnh, TPHCM",9 tỷ,6 PN,6 WC,73 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/5-tang-hem-xe-hoi-tranh-binh-thanh-70m2-chi-9-ty-id22525147
"Bán nhà Hẻm Ba Gác Thông Lê Quang Định P.7 Q.BT 33m2, 5PN, chỉ 5 tỷ1","Quận Bình Thạnh, TPHCM",5 tỷ 100 triệu,5 PN,6 WC,33 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-hem-ba-gac-thong-le-quang-dinh-p-7-q-bt-33m2-5pn-chi-5-ty1-id22524911
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
Nhà mới chính chủ 66M2 ( 3M7 x 18M ) Thích Quảng Đức. Giá thơm 6 tỷ.,"Quận Phú Nhuận, TPHCM",6 tỷ,3 PN,3 WC,66 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nha-moi-chinh-chu-66m2-3m7-x-18m-thich-quang-duc-gia-thom-6-ty-id22506507
"NHÀ GÓC 2 MT đường Bình Thới - Q11, DTSD 320m2, 5 tầng, 22,5 tỷ TL","Quận 11, TPHCM",22 tỷ 500 triệu,8 PN,5 WC,74 m2,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/nha-goc-2-mt-duong-binh-thoi-q11-dtsd-320m2-5-tang-22-5-ty-tl-id22534903
Gia đình cần bán mong gặp khách cần mua,"Quận 10, TPHCM",3 tỷ 700 triệu,2 PN,2 WC,30 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/gia-dinh-can-ban-mong-gap-khach-can-mua-id22495812
"Giá còn 2 tỷ 420 TL Tuyệt phẩm HXG sang, xịn Ngô Tât Tố BTH 50m2 SHR","Quận Bình Thạnh, TPHCM",2 tỷ 420 triệu,4 PN,5 WC,50 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/gia-con-2-ty-420-tl-tuyet-pham-hxg-sang-xin-ngo-tat-to-bth-50m2-shr-id22528078
Khu Nội Bộ Minh Phụng Q11 ( 5.2 * 15 ) 3 Lầu 10 Tỷ,"Quận 6, TPHCM",10 tỷ,5 PN,5 WC,74 m2,https://mogi.vn/quan-6/mua-duong-noi-bo/khu-noi-bo-minh-phung-q11-5-2-15-3-lau-10-ty-id22520935
🔥Đất 4 lô góc liền kề đường 110/ Bà Hom 18x17m- CÁCH CV VÀI BƯỚC CHÂN,"Quận 6, TPHCM",7 tỷ 500 triệu,1 PN,1 WC,304 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/dat-4-lo-goc-lien-ke-duong-110-ba-hom-18x17m-cach-cv-vai-buoc-chan-id22428570
"Bán nhà MT đường Điện Biên Phủ Phường 6 Quận 3, dt: 17x30m giá 175 tỷ","Quận 3, TPHCM",175 tỷ,2 PN,2 WC,481 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mt-duong-dien-bien-phu-phuong-6-quan-3-dt-17x30m-gia-175-ty-id22468534
"Nhỉnh 9.7 Tỷ,Sổ vuông vức,Hẻm xe tải,Trường Sa,Phú Nhuận,60m2, 5 tầng","Quận Phú Nhuận, TPHCM",9 tỷ 699 triệu,4 PN,4 WC,60 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nhinh-9-7-ty-so-vuong-vuc-hem-xe-tai-truong-sa-phu-nhuan-60m2-5-tang-id22532139
"Chủ ngộp bank cần bán gấp nhà Lê Văn Sỹ,Q.3-8x26m-HĐT 120tr/th-40 tỷ","Quận 3, TPHCM",40 tỷ,1 PN,1 WC,200 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/chu-ngop-bank-can-ban-gap-nha-le-van-sy-q-3-8x26m-hdt-120tr-th-40-ty-id22493018
Hai Mặt Tiền Bình Phú Q6 ( 17 * 25 ) 2 Lầu Thang Máy 60 tỷ,"Quận 6, TPHCM",60 tỷ,10 PN,12 WC,422 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/hai-mat-tien-binh-phu-q6-17-25-2-lau-thang-may-60-ty-id22520942
"Nhà đẹp MTNB 14m khu Tên Lửa DT hiếm 4,2x20m 4 tầng TẶNG FULL NỘI THẤT","Quận Bình Tân, TPHCM",10 tỷ 200 triệu,3 PN,5 WC,83 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/nha-dep-mtnb-14m-khu-ten-lua-dt-hiem-4-2x20m-4-tang-tang-full-noi-that-id22418635
"Bán nhà MT Trần Não P, Bình An Quận 2, dt: 6x20m giá 30 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",30 tỷ,2 PN,2 WC,144 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mt-tran-nao-p-binh-an-quan-2-dt-6x20m-gia-30-ty-id22467018
"Bán gấp mặt tiền Ở& KD gần Bàu Cát,Tân Bình,90M2,ngang 4.7m,10.7 TỶ","Quận Tân Bình, TPHCM",10 tỷ 700 triệu,2 PN,2 WC,90 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-gap-mat-tien-o-kd-gan-bau-cat-tan-binh-90m2-ngang-4-7m-10-7-ty-id22532471
"Bán gấp nhà đường Phổ Quang, P.2, Q.Tân Bình-7x21m-6 tầng,TM-giá 24 tỷ","Quận Tân Bình, TPHCM",24 tỷ,5 PN,5 WC,140 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-gap-nha-duong-pho-quang-p-2-q-tan-binh-7x21m-6-tang-tm-gia-24-ty-id22491965
Góc Hai Mặt Tiền Tân Phước Q10 ( 6.5 * 22 ) 4 lầu 40 Tỷ,"Quận 10, TPHCM",40 tỷ,10 PN,12 WC,143 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/goc-hai-mat-tien-tan-phuoc-q10-6-5-22-4-lau-40-ty-id22520946
🏡 MT ĐỐI DIỆN CÔNG VIÊN đường 110/ Bà Hom 4x14m 4 tầng TẶNG NỘI THẤT,"Quận 6, TPHCM",9 tỷ 500 triệu,4 PN,5 WC,56 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/mt-doi-dien-cong-vien-duong-110-ba-hom-4x14m-4-tang-tang-noi-that-id22419762
"Bán nhà góc 2MT Cách Mạng Tháng 8 Quận 1, dt:18x42m giá 260 tỷ","Quận 1, TPHCM",260 tỷ,4 PN,4 WC,756 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-goc-2mt-cach-mang-thang-8-quan-1-dt-18x42m-gia-260-ty-id22465030
"SIÊU PHẨM! Nhà 3 tầng, 90m2 (7m x 13m) - ngay Emart Phan Huy Ích","Quận Gò Vấp, TPHCM",5 tỷ 650 triệu,4 PN,4 WC,90 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/sieu-pham-nha-3-tang-90m2-7m-x-13m-ngay-emart-phan-huy-ich-id22536450
"Mặt tiền Ở& KD Hoà Hảo Ngô Gia Tự Quận 10, 5 tầng, 50m2, 12.8 TỶ","Quận 10, TPHCM",12 tỷ 800 triệu,5 PN,5 WC,50 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/mat-tien-o-kd-hoa-hao-ngo-gia-tu-quan-10-5-tang-50m2-12-8-ty-id22533167
"Bán tòa nhà CHDV mới xây đường Quang Trung,Q.Gò Vấp-8x22m-hầm+7T-35 tỷ","Quận Gò Vấp, TPHCM",35 tỷ,33 PN,34 WC,160 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/ban-toa-nha-chdv-moi-xay-duong-quang-trung-q-go-vap-8x22m-ham-7t-35-ty-id22490855
Vị trí kim cương MT Cư Xá Phú Lâm D  q6 ( 4 * 25 ) 9.8 tỷ,"Quận 6, TPHCM",9 tỷ 800 triệu,3 PN,4 WC,100 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/vi-tri-kim-cuong-mt-cu-xa-phu-lam-d-q6-4-25-9-8-ty-id22520957
"VỊ TRÍ ĐẸP MTKD Đoạn sung nhất Phạm Văn Chí 3,8x20m 2 lầu GẦN PHÒNG CC","Quận 6, TPHCM",12 tỷ,3 PN,2 WC,72 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/vi-tri-dep-mtkd-doan-sung-nhat-pham-van-chi-3-8x20m-2-lau-gan-phong-cc-id22328689
"Bán CHDV 6 tầng 11Phòng,Lê Văn Sỹ ,dòng tiền 500tr/năm,69m2, 12.7 TỶ","Quận 3, TPHCM",12 tỷ 700 triệu,11 PN,11 WC,69 m2,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-chdv-6-tang-11phong-le-van-sy-dong-tien-500tr-nam-69m2-12-7-ty-id22538314
"Bán nhà MT Lê Thánh Tôn P, Bến Nghé Q1, dt: 6.5x26m giá 105 tỷ","Quận 1, TPHCM",105 tỷ,3 PN,3 WC,135 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-le-thanh-ton-p-ben-nghe-q1-dt-6-5x26m-gia-105-ty-id22465018
"SIÊU PHẨM! 2 tầng, 3PN, HXH, 60m2 - khu phân lô, CV Làng Hoa","Quận Gò Vấp, TPHCM",5 tỷ 850 triệu,3 PN,3 WC,60 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/sieu-pham-2-tang-3pn-hxh-60m2-khu-phan-lo-cv-lang-hoa-id22536680
"""Nhỉnh 7.7 tỷ, 45m2, 5 tầng BTCT, HXH Lê Văn Sỹ Phú Nhuận, ở ngay/KD","Quận Phú Nhuận, TPHCM",7 tỷ 700 triệu,3 PN,3 WC,45 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nhinh-7-7-ty-45m2-5-tang-btct-hxh-le-van-sy-phu-nhuan-o-ngay-kd-id22533266
Nhà Quận 3-Mặt Tiền ngay Hai Bà Trưng-5x20m-4 tầng- giá bán chỉ 35 tỷ,"Quận 3, TPHCM",35 tỷ,4 PN,4 WC,100 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/nha-quan-3-mat-tien-ngay-hai-ba-trung-5x20m-4-tang-gia-ban-chi-35-ty-id22464045
Mặt Tiền Cư Xá Phú Lâm D Bình Phú Q6 ( 3.8 * 16 ) 2 Lầu 8 Tỷ,"Quận 6, TPHCM",8 tỷ,2 PN,3 WC,61 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/mat-tien-cu-xa-phu-lam-d-binh-phu-q6-3-8-16-2-lau-8-ty-id22525164
"Nhà đẹp MTKD 20m Bình Phú 1 - 4,4x25m 4 tầng CÓ THANG MÁY - SÁT METRO","Quận 6, TPHCM",21 tỷ,7 PN,7 WC,110 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/nha-dep-mtkd-20m-binh-phu-1-4-4x25m-4-tang-co-thang-may-sat-metro-id22327074
"Bán nhà góc 2MT Võ Thị Sáu Quận 3, dt:12x17m, 5 lầu giá 65 tỷ","Quận 3, TPHCM",65 tỷ,5 PN,5 WC,210 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-goc-2mt-vo-thi-sau-quan-3-dt-12x17m-5-lau-gia-65-ty-id22427367
"Siêu phẩm 4 tầng, 72m2, hẻm oto 8m, đường Phạm Văn Chiêu, P.14","Quận Gò Vấp, TPHCM",6 tỷ 850 triệu,4 PN,5 WC,72 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/sieu-pham-4-tang-72m2-hem-oto-8m-duong-pham-van-chieu-p-14-id22513127
"Mặt tiền Ở& KD hái ra tiền sầm uất K300 Cộng Hoà, 90M2, 2 tầng,15.6 TỶ","Quận Tân Bình, TPHCM",15 tỷ 600 triệu,2 PN,2 WC,90 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/mat-tien-o-kd-hai-ra-tien-sam-uat-k300-cong-hoa-90m2-2-tang-15-6-ty-id22534401
"Ra gấp nhà Lê Quang Định,P5,Q.PN,SHR, 38m2,full nội thất, 1 tỉ 550","Quận Bình Thạnh, TPHCM",1 tỷ 550 triệu,2 PN,2 WC,38 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ra-gap-nha-le-quang-dinh-p5-q-pn-shr-38m2-full-noi-that-1-ti-550-id22509309
"Ngộp bank bán nhà ngay Cách Mạng Tháng Tám,Q.Tân Bình-9.5x15m-4T-20 tỷ","Quận Tân Bình, TPHCM",20 tỷ,4 PN,4 WC,142 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ngop-bank-ban-nha-ngay-cach-mang-thang-tam-q-tan-binh-9-5x15m-4t-20-ty-id22449794
Hai Mặt Tiền Phú Định P11 Q5 ( 3.8 * 15 ) 4 Lầu 11.7  Tỷ,"Quận 5, TPHCM",11 tỷ 700 triệu,6 PN,5 WC,49 m2,https://mogi.vn/quan-5/mua-nha-mat-tien-pho/hai-mat-tien-phu-dinh-p11-q5-3-8-15-4-lau-11-7-ty-id22525182
Bán nhà đẹp MTKD Vành Đai Trong 4x20m 4 tầng LỀ 8m VỊ TRÍ ĐẸP- TIỆN KD,"Quận Bình Tân, TPHCM",17 tỷ,4 PN,5 WC,80 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-nha-dep-mtkd-vanh-dai-trong-4x20m-4-tang-le-8m-vi-tri-dep-tien-kd-id22310134
"Bán tòa nhà MT Trần Khắc Chân Quận 1, dt: 8x23m, hầm 8 tầng giá 140 tỷ","Quận 1, TPHCM",140 tỷ,8 PN,8 WC,188 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-mt-tran-khac-chan-quan-1-dt-8x23m-ham-8-tang-gia-140-ty-id22419473
"SIÊU PHẨM! 2 tầng, 3PN, HXH, 60m2 - khu phân lô, CV Làng Hoa Gò Vấp","Quận Gò Vấp, TPHCM",5 tỷ 850 triệu,3 PN,3 WC,60 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/sieu-pham-2-tang-3pn-hxh-60m2-khu-phan-lo-cv-lang-hoa-go-vap-id22536676
"Siêu phẩm mới ở ngay CMT8 Tân Bình giáp Q10,  sát HXH , 54m2, 2 tầng","Quận 10, TPHCM",7 tỷ 200 triệu,2 PN,2 WC,54 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/sieu-pham-moi-o-ngay-cmt8-tan-binh-giap-q10-sat-hxh-54m2-2-tang-id22534538
"Bán gấp nhà HXH Phan Văn Trị,P11.Q.BT, 33m2,SHR,fullnội thấy,1 tỉ 350","Quận Bình Thạnh, TPHCM",1 tỷ 350 triệu,2 PN,2 WC,33 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-gap-nha-hxh-phan-van-tri-p11-q-bt-33m2-shr-fullnoi-thay-1-ti-350-id22509333
"Giảm sốc 10 tỷ bán góc 2 Mặt Tiền Trần Bình Trọng,Q.5-8x21-6T,TM-54 tỷ","Quận 5, TPHCM",54 tỷ,5 PN,6 WC,160 m2,https://mogi.vn/quan-5/mua-nha-mat-tien-pho/giam-soc-10-ty-ban-goc-2-mat-tien-tran-binh-trong-q-5-8x21-6t-tm-54-ty-id22446917
Mặt Tiền Cư Xá Phú Lâm D Bình Phú Q6 ( 4 * 19 ) 4 Lầu 10.6 tỷ,"Quận 6, TPHCM",10 tỷ 600 triệu,4 PN,4 WC,76 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/mat-tien-cu-xa-phu-lam-d-binh-phu-q6-4-19-4-lau-10-6-ty-id22526116
"Bán nhà 4 tầng MT 10m khu Tên Lửa - 4,5x20m VỊ TRÍ ĐẸP -GẦN CHỢ N.T.TỰ","Quận Bình Tân, TPHCM",8 tỷ 800 triệu,5 PN,4 WC,90 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-nha-4-tang-mt-10m-khu-ten-lua-4-5x20m-vi-tri-dep-gan-cho-n-t-tu-id22308970
"Bán biệt thự dát vàng Nguyễn Đình Chiểu Quận 1,dt:14.66x26m giá 300 tỷ","Quận 1, TPHCM",300 tỷ,5 PN,5 WC,312 m2,https://mogi.vn/quan-1/mua-nha-biet-thu-lien-ke/ban-biet-thu-dat-vang-nguyen-dinh-chieu-quan-1-dt-14-66x26m-gia-300-ty-id22416343
"Bán nhà hẻm 60 Đường Tân Mỹ, P. Tân Thuận Tây, Quận 7. Hẻm 3m","Quận 7, TPHCM",3 tỷ 300 triệu,2 PN,2 WC,42 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/ban-nha-hem-60-duong-tan-my-p-tan-thuan-tay-quan-7-hem-3m-id22497092
"SIÊU PHẨM! 5 tầng, HXH 6m, 60m2 - khu phân lô, ngay Lotte Mart","Quận Gò Vấp, TPHCM",6 tỷ 750 triệu,4 PN,5 WC,60 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/sieu-pham-5-tang-hxh-6m-60m2-khu-phan-lo-ngay-lotte-mart-id22536655
"Bán nhà Trường Sa Quận 3, sát, Ở&KD 15tr/th, 80m2, 4 tầng ,5 PN,9.3 TỶ","Quận 3, TPHCM",9 tỷ 300 triệu,5 PN,5 WC,80 m2,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-nha-truong-sa-quan-3-sat-o-kd-15tr-th-80m2-4-tang-5-pn-9-3-ty-id22534657
"Bán gấp nhà HXH Âu Cơ Q11,1T3L, SHR, 1 tỉ 650, 43m2","Quận 11, TPHCM",1 tỷ 650 triệu,3 PN,3 WC,43 m2,https://mogi.vn/quan-11/mua-nha-hem-ngo/ban-gap-nha-hxh-au-co-q11-1t3l-shr-1-ti-650-43m2-id22509360
"Bán nhà góc 2 Mặt Tiền Điện Biên Phủ,Q.3-4.5x20m-5T-HĐT 65tr/th-32 tỷ","Quận 3, TPHCM",32 tỷ,5 PN,5 WC,90 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-goc-2-mat-tien-dien-bien-phu-q-3-4-5x20m-5t-hdt-65tr-th-32-ty-id22445555
Khu Nội Bộ 341 Lạc Long Quân Q11 ( 4 * 8 ) 2 Lầu 4 Tỷ,"Quận 11, TPHCM",4 tỷ,2 PN,2 WC,32 m2,https://mogi.vn/quan-11/mua-nha-hem-ngo/khu-noi-bo-341-lac-long-quan-q11-4-8-2-lau-4-ty-id22525202
Nhà 2 MT Kinh Doanh 4x27m 5 tầng ĐỐI DIỆN CV LÊ TUẤN MẬU DOANH THU50TR,"Quận 6, TPHCM",17 tỷ,20 PN,20 WC,108 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/nha-2-mt-kinh-doanh-4x27m-5-tang-doi-dien-cv-le-tuan-mau-doanh-thu50tr-id22222280
"Bán nhà MT Nguyễn Đình Chiểu Quận 1, dt:10x28m, hầm 8 lầu giá 100 tỷ","Quận 1, TPHCM",100 tỷ,8 PN,8 WC,280 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-nguyen-dinh-chieu-quan-1-dt-10x28m-ham-8-lau-gia-100-ty-id22405533
"Nhà Mặt Tiền Cực VIP, Ngang hơn 4m, KD Đỉnh, Nơ Trang Long, Bình Thạnh","Quận Bình Thạnh, TPHCM",19 tỷ 800 triệu,4 PN,5 WC,76 m2,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/nha-mat-tien-cuc-vip-ngang-hon-4m-kd-dinh-no-trang-long-binh-thanh-id22488588
"Bán nhà 2 lầu hẻm 1247 huỳnh tấn phát, phường phú thuận, Quận 7","Quận 7, TPHCM",2 tỷ 850 triệu,3 PN,3 WC,29 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/ban-nha-2-lau-hem-1247-huynh-tan-phat-phuong-phu-thuan-quan-7-id22485781
"SIÊU PHẨM! 5 tầng, HXH, 56m2 - ngay Emart Phan Huy Ích","Quận Gò Vấp, TPHCM",6 tỷ 450 triệu,5 PN,5 WC,56 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/sieu-pham-5-tang-hxh-56m2-ngay-emart-phan-huy-ich-id22536577
