name,district,price,bedroom,wc,acreage,link
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
Nhà trệt lầu ở Nhơn Đức Nhà Bè,"Huyện Nhà Bè, TPHCM",850 triệu,4 PN,4 WC,63 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/nha-tret-lau-o-nhon-duc-nha-be-id22524481
"Chính chủ bán nhà 490/18 Hà Huy Giáp, Quận 12","Quận 12, TPHCM",4 tỷ 300 triệu,2 PN,2 WC,21 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/chinh-chu-ban-nha-490-18-ha-huy-giap-quan-12-id22515012
Bán gấp nhà Xô Viết Nghệ Tĩnh P21 hẻm 6m chỉ 11.2 tỷ,"Quận Bình Thạnh, TPHCM",11 tỷ 200 triệu,2 PN,2 WC,80 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-gap-nha-xo-viet-nghe-tinh-p21-hem-6m-chi-11-2-ty-id22526661
Bán căn Villa vị trí đẹp góc 2 mặt tiền Đường số 2 và 6. DTS 647m2. 4l,"Quận 10, TPHCM",110 tỷ,3 PN,2 WC,100 m2,https://mogi.vn/quan-10/mua-nha-biet-thu-lien-ke/ban-can-villa-vi-tri-dep-goc-2-mat-tien-duong-so-2-va-6-dts-647m2-4l-id21472298
"Bán căn Villa góc 2 mặt tiền 118 đường 3/2, P12. Q10. 4lâu- 60 tỷ (10x","Quận 10, TPHCM",60 tỷ,5 PN,5 WC,255 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-can-villa-goc-2-mat-tien-118-duong-3-2-p12-q10-4lau-60-ty-10x-id21471656
"Bán 8 căn nhà phố Hà Đô Centrosa vị trí đẹp nhất phường 12, Quận 10.","Quận 10, TPHCM",34 tỷ 500 triệu,5 PN,5 WC,154 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-8-can-nha-pho-ha-do-centrosa-vi-tri-dep-nhat-phuong-12-quan-10-id21450123
"KHU VỰC AN NINH nhà TRƯƠNG ĐĂNG QUẾ, GV 34m2 giá chỉ 1,69 tỷ","Quận Gò Vấp, TPHCM",1 tỷ 690 triệu,4 PN,4 WC,88 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/khu-vuc-an-ninh-nha-truong-dang-que-gv-34m2-gia-chi-1-69-ty-id22518048
"CẮT LỖ bán nhà Đoàn Văn Bơ Q4, 57m2 giá còn 1,88 tỷ hoàn công đầy đủ","Quận 4, TPHCM",1 tỷ 880 triệu,2 PN,2 WC,1 m2,https://mogi.vn/quan-4/mua-nha-hem-ngo/cat-lo-ban-nha-doan-van-bo-q4-57m2-gia-con-1-88-ty-hoan-cong-day-du-id22524434
"PHONG THỦY TỐT nhà TRƯƠNG THỊ HOA Q12, 52m2 giá sốc 1,37 tỷ có ngay","Quận 12, TPHCM",1 tỷ 370 triệu,3 PN,3 WC,1 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/phong-thuy-tot-nha-truong-thi-hoa-q12-52m2-gia-soc-1-37-ty-co-ngay-id22524429
