name,district,price,bedroom,wc,acreage,link
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
"✅️4,5m❌️22m 4 tầng 6pn khu Đệ Nhất khách sạn,  Hoàng Việt- Út Tịch","Quận Tân Bình, TPHCM",16 tỷ,6 PN,5 WC,96 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/4-5m-22m-4-tang-6pn-khu-de-nhat-khach-san-hoang-viet-ut-tich-id22531757
NHÀ MỚI  - 2 TẦNG - Lê Văn Khương - 4 x 13 - Hẻm xe hơi thông - HƠN 3T,"Quận 12, TPHCM",3 tỷ 600 triệu,2 PN,2 WC,44 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/nha-moi-2-tang-le-van-khuong-4-x-13-hem-xe-hoi-thong-hon-3t-id22529587
Gia đình cần bán mong gặp khách cần mua,"Quận 10, TPHCM",3 tỷ 700 triệu,2 PN,2 WC,30 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/gia-dinh-can-ban-mong-gap-khach-can-mua-id22495812
Nhà trệt lầu ở Nhơn Đức Nhà Bè,"Huyện Nhà Bè, TPHCM",850 triệu,2 PN,2 WC,21 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/nha-tret-lau-o-nhon-duc-nha-be-id22524481
"Chi 5.Xty,Nhà Mới 5Tang-4PN-40m2,Sát Hẻm Xe Hơi,Giáp Khu Phan Xích Lon","Quận Phú Nhuận, TPHCM",5 tỷ 950 triệu,4 PN,4 WC,40 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/chi-5-xty-nha-moi-5tang-4pn-40m2-sat-hem-xe-hoi-giap-khu-phan-xich-lon-id22483422
Nhà mới keng ngay HXH Tô Hiến Thành Q10 giá sốc 1 tỷ 945 triệu DT:33m2,"Quận 10, TPHCM",1 tỷ 945 triệu,3 PN,3 WC,33 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/nha-moi-keng-ngay-hxh-to-hien-thanh-q10-gia-soc-1-ty-945-trieu-dt-33m2-id22523632
"Bán nhà HXH thông ra Phan Đăng Lưu, Hoàng Hoa Thám 43m2, 5 lầu, 7x9m","Quận Bình Thạnh, TPHCM",6 tỷ 900 triệu,4 PN,4 WC,39 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-hxh-thong-ra-phan-dang-luu-hoang-hoa-tham-43m2-5-lau-7x9m-id22503472
"Biệt thự 5 lầu, 180m2 view Sông phường An Phú, Quận 2 giá chỉ 29 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",29 tỷ,6 PN,7 WC,160 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/biet-thu-5-lau-180m2-view-song-phuong-an-phu-quan-2-gia-chi-29-ty-id22404825
Bán nhà MT View siêu Đẹp Hoàng Sa Quận 1.Ngang 7m x 15m. 5 Lầu .28 tỷ,"Quận 1, TPHCM",28 tỷ,8 PN,8 WC,90 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-view-sieu-dep-hoang-sa-quan-1-ngang-7m-x-15m-5-lau-28-ty-id22488962
"Biệt thự MT khu Tên Lửa 120m2 10x12 nở hậu, tk đa năng, nhỉnh 13 tỷ TL","Quận Bình Tân, TPHCM",13 tỷ 500 triệu,4 PN,5 WC,120 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/biet-thu-mt-khu-ten-lua-120m2-10x12-no-hau-tk-da-nang-nhinh-13-ty-tl-id22232874
HOÀNG HOA THÁM-THÍCH QUÃNG ĐỨC -sát ngã tư Phú Nhuận-50m2 NHỈNH 8TỶ TL,"Quận Phú Nhuận, TPHCM",8 tỷ,3 PN,3 WC,50 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/hoang-hoa-tham-thich-quang-duc-sat-nga-tu-phu-nhuan-50m2-nhinh-8ty-tl-id22526801
Cần bán nhanh siêu phẩm biệt thự góc đường lớn view công viên Quận 7,"Quận 7, TPHCM",93 tỷ,4 PN,4 WC,200 m2,https://mogi.vn/quan-7/mua-nha-biet-thu-lien-ke/can-ban-nhanh-sieu-pham-biet-thu-goc-duong-lon-view-cong-vien-quan-7-id22049932
"HẺM 1 SẸC VƯỜN LÀI - XE HƠI VÀO NHÀ – 70m2 (4,5 x 15,5m), 4 tầng, 4pn","Quận Tân Phú, TPHCM",7 tỷ 500 triệu,4 PN,4 WC,70 m2,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/hem-1-sec-vuon-lai-xe-hoi-vao-nha-70m2-4-5-x-15-5m-4-tang-4pn-id22511624
Biệt thự 2 tầng lô góc DT 9mx19m.CN 170m2.Đỗ Văn Dây Tân Hiệp Hóc Môn,"Huyện Hóc Môn, TPHCM",6 tỷ 500 triệu,3 PN,3 WC,168 m2,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/biet-thu-2-tang-lo-goc-dt-9mx19m-cn-170m2-do-van-day-tan-hiep-hoc-mon-id22506955
"Bán rất gấp nhà HXH Huỳnh Văn Nghệ,Q.TB, 30m2,shr, nhà mới,1 tỉ 450","Quận Tân Bình, TPHCM",1 tỷ 450 triệu,2 PN,2 WC,30 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-rat-gap-nha-hxh-huynh-van-nghe-q-tb-30m2-shr-nha-moi-1-ti-450-id22502672
"Càn tiền trả nợ bán gấp nhà đường Nơ Trang Long, Bình Thạnh 1 tỷ 195","Quận Bình Thạnh, TPHCM",1 tỷ 195 triệu,3 PN,2 WC,50 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/can-tien-tra-no-ban-gap-nha-duong-no-trang-long-binh-thanh-1-ty-195-id22529499
"nhà địa chỉ Thạch Lam, Phú Thạch, Q. Tân Phú  - Dt: 39m² (3m x  13m) -","Quận Tân Phú, TPHCM",1 tỷ 740 triệu,0 PN,0 WC,0 m2,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/nha-dia-chi-thach-lam-phu-thach-q-tan-phu-dt-39m-3m-x-13m-id22530862
"Cô tôi bán gấp nhà Thành Thái,Q.10-6x17m- 5 tầng- giá chỉ 23 tỷ TL","Quận 10, TPHCM",23 tỷ,5 PN,5 WC,100 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/co-toi-ban-gap-nha-thanh-thai-q-10-6x17m-5-tang-gia-chi-23-ty-tl-id22490810
"Bán tòa CHDV mặt tiền Lê Văn Thọ, Gò Vấp. Hầm 8 lầu. HDT 220 triệu/th","Quận Gò Vấp, TPHCM",35 tỷ,36 PN,37 WC,117 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/ban-toa-chdv-mat-tien-le-van-tho-go-vap-ham-8-lau-hdt-220-trieu-th-id22319463
"Ngay Hàng Xanh ! Giáp Q1, Nhà 3 Tầng, 7PN, DT 82m2, 5x17m, chỉ 7,18 tỷ","Quận Bình Thạnh, TPHCM",7 tỷ 180 triệu,7 PN,7 WC,82 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ngay-hang-xanh-giap-q1-nha-3-tang-7pn-dt-82m2-5x17m-chi-7-18-ty-id22524118
"Bán nhà HXH Lê Quang Định, P7, Bình Thạnh. 💫Giá bán: 1 tỷ 635 bớt lộc","Quận Bình Thạnh, TPHCM",1 tỷ 635 triệu,3 PN,5 WC,64 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-hxh-le-quang-dinh-p7-binh-thanh-gia-ban-1-ty-635-bot-loc-id22528453
"Bác Chín cần bán nhà Xô Viết Nghệ Tĩnh, P25, Quận Bình Thạnh. Sổ sẵn.","Quận Bình Thạnh, TPHCM",3 tỷ 100 triệu,0 PN,0 WC,45 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/bac-chin-can-ban-nha-xo-viet-nghe-tinh-p25-quan-binh-thanh-so-san-id22517929
"Bán nhà MT 168 Nguyễn Du Bến Thành Q1, 7x21 , hầm 6 tầng cho thuê 135t","Quận 1, TPHCM",45 tỷ,6 PN,6 WC,147 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-168-nguyen-du-ben-thanh-q1-7x21-ham-6-tang-cho-thue-135t-id22160366
"Góc 2MT hẻm 549B Hậu Giang 4,65x15m sát đường lớn  giá 8.6 Tỷ","Quận 6, TPHCM",8 tỷ 600 triệu,5 PN,5 WC,61 m2,https://mogi.vn/quan-6/mua-nha-hem-ngo/goc-2mt-hem-549b-hau-giang-4-65x15m-sat-duong-lon-gia-8-6-ty-id22496478
"Bán gấp nhà mt hoa đào 4,2x17 1 trệt 3 lầu giá 14,5 tỷ","Quận Phú Nhuận, TPHCM",14 tỷ 500 triệu,4 PN,4 WC,70 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-gap-nha-mt-hoa-dao-4-2x17-1-tret-3-lau-gia-14-5-ty-id22520715
"HOT. Nhà ở + 10 CHDV thu nhập 40 triệu/tháng. 147m2, 4T. Lê Quang Định","Quận Gò Vấp, TPHCM",14 tỷ 890 triệu,13 PN,13 WC,147 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/hot-nha-o-10-chdv-thu-nhap-40-trieu-thang-147m2-4t-le-quang-dinh-id22075783
"Bán nhà 2 mặt tiền đường Trần Văn Giàu, Ấp 5, Phạm Văn Hai, Bình Chánh","Huyện Bình Chánh, TPHCM",12 tỷ 680 triệu,6 PN,4 WC,213 m2,https://mogi.vn/huyen-binh-chanh/mua-nha-mat-tien-pho/ban-nha-2-mat-tien-duong-tran-van-giau-ap-5-pham-van-hai-binh-chanh-id22494540
Cần ra gấp siêu phẩm HXH Nguyễn Bặc Tân Bình giá chỉ 1 tỷ 595 DT:48m2,"Quận Tân Bình, TPHCM",1 tỷ 595 triệu,2 PN,3 WC,48 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/can-ra-gap-sieu-pham-hxh-nguyen-bac-tan-binh-gia-chi-1-ty-595-dt-48m2-id22523634
"Nhà Quận 7, Khu Phố Văn Hóa 5x23m, 4 tầng, 13,5 tỷ","Quận 7, TPHCM",13 tỷ 500 triệu,5 PN,5 WC,123 m2,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/nha-quan-7-khu-pho-van-hoa-5x23m-4-tang-13-5-ty-id22503474
